[INFO] In total, there are 1229 possible subgroups
[INFO] [0], []
[INFO] [1], []
[INFO] [2], []
[INFO] [3], []
[INFO] [4], []
[INFO] [5], []
[INFO] [6], []
[INFO] [7], []
[INFO] [8], []
[INFO] [9], []
[INFO] [10], []
[INFO] [11], []
[INFO] [12], []
[INFO] [13], []
[INFO] [14], []
[INFO] [15], []
[INFO] [16], []
[INFO] [], [16]
[INFO] [17], []
[INFO] [18], []
[INFO] [19], []
[INFO] [20], []
[INFO] [21], []
[INFO] [22], []
[INFO] [23], []
[INFO] [24], []
[INFO] [25], []
[INFO] [0, 10], []
[INFO] [0, 11], []
[INFO] [0, 12], []
[INFO] [0, 13], []
[INFO] [0, 14], []
[INFO] [0, 15], []
[INFO] [0, 16], []
[INFO] [0], [16]
[INFO] [0, 17], []
[INFO] [0, 18], []
[INFO] [0, 19], []
[INFO] [0, 20], []
[INFO] [0, 21], []
[INFO] [0, 22], []
[INFO] [0, 23], []
[INFO] [0, 24], []
[INFO] [1, 10], []
[INFO] [1, 11], []
[INFO] [1, 12], []
[INFO] [1, 13], []
[INFO] [1, 14], []
[INFO] [1, 15], []
[INFO] [1, 16], []
[INFO] [1], [16]
[INFO] [1, 17], []
[INFO] [1, 18], []
[INFO] [1, 19], []
[INFO] [1, 20], []
[INFO] [1, 21], []
[INFO] [1, 22], []
[INFO] [1, 23], []
[INFO] [1, 24], []
[INFO] [2, 10], []
[INFO] [2, 11], []
[INFO] [2, 12], []
[INFO] [2, 13], []
[INFO] [2, 14], []
[INFO] [2, 15], []
[INFO] [2, 16], []
[INFO] [2], [16]
[INFO] [2, 17], []
[INFO] [2, 18], []
[INFO] [2, 19], []
[INFO] [2, 20], []
[INFO] [2, 21], []
[INFO] [2, 22], []
[INFO] [2, 23], []
[INFO] [2, 24], []
[INFO] [3, 10], []
[INFO] [3, 11], []
[INFO] [3, 12], []
[INFO] [3, 13], []
[INFO] [3, 14], []
[INFO] [3, 15], []
[INFO] [3, 16], []
[INFO] [3], [16]
[INFO] [3, 17], []
[INFO] [3, 18], []
[INFO] [3, 19], []
[INFO] [3, 20], []
[INFO] [3, 21], []
[INFO] [3, 22], []
[INFO] [3, 23], []
[INFO] [3, 24], []
[INFO] [4, 10], []
[INFO] [4, 11], []
[INFO] [4, 12], []
[INFO] [4, 13], []
[INFO] [4, 14], []
[INFO] [4, 15], []
[INFO] [4, 16], []
[INFO] [4], [16]
[INFO] [4, 17], []
[INFO] [4, 18], []
[INFO] [4, 19], []
[INFO] [4, 20], []
[INFO] [4, 21], []
[INFO] [4, 22], []
[INFO] [4, 23], []
[INFO] [4, 24], []
[INFO] [5, 10], []
[INFO] [5, 11], []
[INFO] [5, 12], []
[INFO] [5, 13], []
[INFO] [5, 14], []
[INFO] [5, 15], []
[INFO] [5, 16], []
[INFO] [5], [16]
[INFO] [5, 17], []
[INFO] [5, 18], []
[INFO] [5, 19], []
[INFO] [5, 20], []
[INFO] [5, 21], []
[INFO] [5, 22], []
[INFO] [5, 23], []
[INFO] [5, 24], []
[INFO] [6, 10], []
[INFO] [6, 11], []
[INFO] [6, 12], []
[INFO] [6, 13], []
[INFO] [6, 14], []
[INFO] [6, 15], []
[INFO] [6, 16], []
[INFO] [6], [16]
[INFO] [6, 17], []
[INFO] [6, 18], []
[INFO] [6, 19], []
[INFO] [6, 20], []
[INFO] [6, 21], []
[INFO] [6, 22], []
[INFO] [6, 23], []
[INFO] [6, 24], []
[INFO] [7, 10], []
[INFO] [7, 11], []
[INFO] [7, 12], []
[INFO] [7, 13], []
[INFO] [7, 14], []
[INFO] [7, 15], []
[INFO] [7, 16], []
[INFO] [7], [16]
[INFO] [7, 17], []
[INFO] [7, 18], []
[INFO] [7, 19], []
[INFO] [7, 20], []
[INFO] [7, 21], []
[INFO] [7, 23], []
[INFO] [8, 10], []
[INFO] [8, 11], []
[INFO] [8, 12], []
[INFO] [8, 15], []
[INFO] [8, 16], []
[INFO] [8], [16]
[INFO] [8, 17], []
[INFO] [8, 18], []
[INFO] [8, 19], []
[INFO] [8, 20], []
[INFO] [8, 23], []
[INFO] [9, 10], []
[INFO] [9, 12], []
[INFO] [9, 16], []
[INFO] [9], [16]
[INFO] [9, 18], []
[INFO] [9, 23], []
[INFO] [10, 16], []
[INFO] [10], [16]
[INFO] [10, 17], []
[INFO] [10, 18], []
[INFO] [10, 19], []
[INFO] [10, 20], []
[INFO] [10, 21], []
[INFO] [10, 22], []
[INFO] [10, 23], []
[INFO] [10, 24], []
[INFO] [10, 25], []
[INFO] [11, 16], []
[INFO] [11], [16]
[INFO] [11, 17], []
[INFO] [11, 18], []
[INFO] [11, 19], []
[INFO] [11, 20], []
[INFO] [11, 23], []
[INFO] [12, 16], []
[INFO] [12], [16]
[INFO] [12, 17], []
[INFO] [12, 18], []
[INFO] [12, 19], []
[INFO] [12, 20], []
[INFO] [12, 23], []
[INFO] [13, 16], []
[INFO] [13], [16]
[INFO] [13, 17], []
[INFO] [13, 18], []
[INFO] [13, 19], []
[INFO] [13, 20], []
[INFO] [13, 23], []
[INFO] [14, 16], []
[INFO] [14], [16]
[INFO] [14, 18], []
[INFO] [14, 19], []
[INFO] [14, 22], []
[INFO] [14, 23], []
[INFO] [15, 16], []
[INFO] [15], [16]
[INFO] [15, 17], []
[INFO] [15, 18], []
[INFO] [15, 19], []
[INFO] [15, 20], []
[INFO] [15, 21], []
[INFO] [15, 22], []
[INFO] [15, 23], []
[INFO] [15, 24], []
[INFO] [16, 17], []
[INFO] [16, 18], []
[INFO] [16, 19], []
[INFO] [16, 20], []
[INFO] [16, 21], []
[INFO] [16, 22], []
[INFO] [16, 23], []
[INFO] [16, 24], []
[INFO] [17], [16]
[INFO] [18], [16]
[INFO] [19], [16]
[INFO] [20], [16]
[INFO] [21], [16]
[INFO] [22], [16]
[INFO] [23], [16]
[INFO] [24], [16]
[INFO] [0, 10, 16], []
[INFO] [0, 10], [16]
[INFO] [0, 10, 17], []
[INFO] [0, 10, 18], []
[INFO] [0, 10, 19], []
[INFO] [0, 10, 20], []
[INFO] [0, 10, 21], []
[INFO] [0, 10, 22], []
[INFO] [0, 10, 23], []
[INFO] [0, 10, 24], []
[INFO] [0, 11, 16], []
[INFO] [0, 11], [16]
[INFO] [0, 11, 18], []
[INFO] [0, 11, 19], []
[INFO] [0, 11, 23], []
[INFO] [0, 12, 16], []
[INFO] [0, 12], [16]
[INFO] [0, 12, 18], []
[INFO] [0, 12, 19], []
[INFO] [0, 12, 23], []
[INFO] [0, 13, 16], []
[INFO] [0, 13], [16]
[INFO] [0, 13, 18], []
[INFO] [0, 13, 20], []
[INFO] [0, 14, 16], []
[INFO] [0, 14], [16]
[INFO] [0, 14, 18], []
[INFO] [0, 14, 22], []
[INFO] [0, 15, 16], []
[INFO] [0, 15], [16]
[INFO] [0, 15, 17], []
[INFO] [0, 15, 18], []
[INFO] [0, 15, 19], []
[INFO] [0, 15, 20], []
[INFO] [0, 15, 21], []
[INFO] [0, 15, 23], []
[INFO] [0, 16, 17], []
[INFO] [0, 16, 18], []
[INFO] [0, 16, 19], []
[INFO] [0, 16, 20], []
[INFO] [0, 16, 21], []
[INFO] [0, 16, 22], []
[INFO] [0, 16, 23], []
[INFO] [0, 16, 24], []
